,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months)
157,BORDER 50,32.577,-116.722,2005,10,1239.57,0.18,466.47,674.64,98.1,0,0
158,BORDER 6,32.579,-116.264,2012,5,45.45,1.17,28.53,15.75,0.0,0,0
915,MINE,32.581,-116.768,1986,9,417.69,0.09,345.06,72.27,0.27,0,0
155,BORDER,32.585,-116.514,2004,9,363.24,0.0,56.07,304.02,3.15,0,0
536,GLORIA,32.589,-116.443,1999,10,213.66,0.0,76.23,136.44,0.99,0,0
1019,OTAY 322,32.592,-116.871,1996,10,4118.85,0.0,679.05,1866.69,1573.02,0,0
482,FOREST GATE,32.592,-116.489,1995,7,493.92,0.0,51.48,352.8,89.64,0,0
414,DOGPATCH 2,32.602,-116.512,1989,7,481.05,0.45,261.63,215.46,3.51,0,0
1018,OTAY,32.604,-116.925,1994,10,902.88,3.42,222.57,669.69,7.2,0,0
1422,SUMMIT,32.605,-116.733,1998,7,423.09,0.0,293.49,122.49,7.11,0,0
1430,SYCAMORE,32.607,-116.727,1995,8,3946.59,2.97,211.14,2109.33,1623.15,0,0
111,BELL,32.608,-116.601,2001,12,1497.33,8.01,1387.98,101.25,0.09,0,2
1308,SHOCKEY,32.608,-116.406,1999,10,1416.33,2.52,464.94,939.24,9.63,0,0
676,INKOPAH,32.609,-116.057,2007,6,456.12,76.32,330.66,48.96,0.09,0,1
156,BORDER 3,32.611,-116.572,2016,6,3210.48,70.65,2773.89,363.06,2.88,0,0
85,BARRETT,32.617,-116.669,1991,6,510.57,3.69,350.01,156.6,0.27,0,2
1309,SHOCKEY,32.618,-116.335,2012,9,1079.46,253.89,213.66,528.39,83.52,0,2
916,MINE/OTAY,32.621,-116.849,2003,10,15058.26,20.07,3457.71,7334.28,4239.81,0,0
86,BARRETT,32.633,-116.668,2000,6,620.82,0.09,229.59,348.12,43.02,0,0
599,HARRIS,32.646,-116.771,2007,10,36526.86,128.43,21346.38,11640.87,3380.94,0,4
517,GATE,32.654,-116.829,2017,5,917.19,0.0,58.68,820.17,38.34,0,1
1142,PROCTOR,32.682,-116.886,1984,4,1222.2,0.0,300.96,691.38,229.86,0,1
643,HONEY,32.683,-116.806,1996,1,1285.11,0.0,48.15,961.56,274.23,0,3
1143,PROCTOR,32.692,-116.918,1999,9,626.4,0.0,368.19,254.16,3.69,0,0
998,OLD 2,32.693,-116.367,2012,6,428.58,132.3,57.15,204.21,34.92,0,0
910,MILLER,32.699,-116.927,1985,6,3160.35,91.71,2505.78,553.05,8.91,0,0
649,HORSE,32.717,-116.622,2006,7,6764.4,1.44,342.54,4391.64,2028.78,0,0
