,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months),PDepth>0.01in,PDepth>0.1in,PDepth>1in,SDepth>1in,DaysT<32d,DaysT>70d,DaysT>90d,HighestDaySnow,HighestDayRain,HighestDayTemp,TotalRain,TotalSnow,AvgMonthMax
0,BORDER 50,32.577,-116.722,2005,10,1239.57,0.18,466.47,674.64,98.1,0,0,53.0,26.833333333333332,1.9444444444444444,2.0,0.0,248.94736842105263,67.10526315789474,76.0,36.277777777777786,39.98947368421054,329.66666666666674,101.0,24.60421052631579
1,BORDER 6,32.579,-116.264,2012,5,45.45,1.17,28.53,15.75,0.0,0,0,53.333333333333336,29.333333333333332,1.5833333333333333,3.6219934355604733,0.0,254.42857142857142,95.78571428571429,69.93284063216659,40.71666666666666,40.37857142857143,333.6666666666667,374.4655954594603,25.32357142857143
2,MINE,32.581,-116.768,1986,9,417.69,0.09,345.06,72.27,0.27,0,0,42.89473684210526,24.263157894736842,3.6315789473684212,0.0,0.0,251.57894736842104,42.21052631578947,0.0,70.03684210526316,37.19473684210528,384.6999999999999,0.0,24.615789473684217
3,BORDER,32.585,-116.514,2004,9,363.24,0.0,56.07,304.02,3.15,0,0,41.785714285714285,28.142857142857142,6.357142857142857,1.2,0.0,232.2,79.86666666666666,25.4,66.3,39.74,481.13571428571424,86.2,24.436666666666664
4,GLORIA,32.589,-116.443,1999,10,213.66,0.0,76.23,136.44,0.99,0,0,39.15384615384615,23.0,0.15384615384615385,0.0,0.2857142857142857,232.57142857142858,72.14285714285714,0.0,18.653846153846153,38.964285714285715,179.8846153846154,0.0,24.195714285714285
5,OTAY 322,32.592,-116.871,1996,10,4118.85,0.0,679.05,1866.69,1573.02,0,0,31.4,17.8,0.8,0.0,0.0,274.5,43.25,0.0,25.919999999999998,37.074999999999996,183.7,0.0,25.229999999999997
6,FOREST GATE,32.592,-116.489,1995,7,493.92,0.0,51.48,352.8,89.64,0,0,58.5,37.5,7.857142857142857,0.0,0.0,253.5,86.5,0.0,93.42142857142858,42.375,711.5142857142857,0.0,25.4
7,DOGPATCH 2,32.602,-116.512,1989,7,481.05,0.45,261.63,215.46,3.51,0,0,29.529411764705884,18.0,0.8235294117647058,0.0,0.0,266.7,98.9,0.0,28.452941176470585,42.43,158.40588235294118,0.0,26.018
8,OTAY,32.604,-116.925,1994,10,902.88,3.42,222.57,669.69,7.2,0,0,33.55555555555556,19.666666666666668,0.4444444444444444,0.0,0.0,204.0,7.0,0.0,24.244444444444447,36.1,239.64444444444447,0.0,21.959999999999997
9,SUMMIT,32.605,-116.733,1998,7,423.09,0.0,293.49,122.49,7.11,0,0,58.0,37.75,4.25,3.6219934355604733,0.0,217.5,42.25,69.93284063216659,49.875,40.7,480.6,374.4655954594603,23.065
